ref_name,isolate_id
Hai-Long07,71613
Hai-Long07,71614
Hai-Long07,71615
Hai-Long07,71616
Hai-Long07,71617
Hai-Long07,71618
Hai-Long07,71619
Hai-Long07,71620
Hai-Long07,71621
Hai-Long07,85516
Hai-Long07,85517
Hai-Long07,85518
Hai-Long07,85519
Hai-Long07,85520
Hai-Long07,85521
Hai-Long07,85522
Hai-Long07,85523
Hai-Long07,85524
Hai-Long07,85525
Hai-Long07,85526
Hai-Long07,85527
Hai-Long07,85528
Hai-Long07,85529
Hai-Long07,85530
Hai-Long07,85531
Hai-Long07,85532
Hai-Long07,85533
Hai-Long07,85534
